"LC_X","LC_Y","LC_Z","LClusHigh_X","LClusHigh_Y","LClusHigh_Z","LClusLow_X","LClusLow_Y","LClusLow_Z","LClusMedial_X","LClusMedial_Y","LClusMedial_Z","LClusMid_X","LClusMid_Y","LClusMid_Z","LL_X","LL_Y","LL_Z","LT_X","LT_Y","LT_Z","RC_X","RC_Y","RC_Z","RClusHigh_X","RClusHigh_Y","RClusHigh_Z","RClusLow_X","RClusLow_Y","RClusLow_Z","RClusMedial_X","RClusMedial_Y","RClusMedial_Z","RClusMid_X","RClusMid_Y","RClusMid_Z","RIMU_X","RIMU_Y","RIMU_Z","RL_X","RL_Y","RL_Z","RT_X","RT_Y","RT_Z","LAJC_X","LAJC_Y","LAJC_Z","LKJC_X","LKJC_Y","LKJC_Z","LKneeLatP_X","LKneeLatP_Y","LKneeLatP_Z","LKneeMedP_X","LKneeMedP_Y","LKneeMedP_Z","LLMp_X","LLMp_Y","LLMp_Z","LMMp_X","LMMp_Y","LMMp_Z","OLeftTibia_X","OLeftTibia_Y","OLeftTibia_Z","ORightTibia_X","ORightTibia_Y","ORightTibia_Z","Oglobal_X","Oglobal_Y","Oglobal_Z","RAJC_X","RAJC_Y","RAJC_Z","RKJC_X","RKJC_Y","RKJC_Z","RKneeLatP_X","RKneeLatP_Y","RKneeLatP_Z","RKneeMedP_X","RKneeMedP_Y","RKneeMedP_Z","RLMp_X","RLMp_Y","RLMp_Z","RMMp_X","RMMp_Y","RMMp_Z","XLeftTibia_X","XLeftTibia_Y","XLeftTibia_Z","XRightTibia_X","XRightTibia_Y","XRightTibia_Z","Xglobal_X","Xglobal_Y","Xglobal_Z","YLeftTibia_X","YLeftTibia_Y","YLeftTibia_Z","YRightTibia_X","YRightTibia_Y","YRightTibia_Z","Yglobal_X","Yglobal_Y","Yglobal_Z","ZLeftTibia_X","ZLeftTibia_Y","ZLeftTibia_Z","ZRightTibia_X","ZRightTibia_Y","ZRightTibia_Z","Zglobal_X","Zglobal_Y","Zglobal_Z","RTibiaToGlobal_X","RTibiaToGlobal_Y","RTibiaToGlobal_Z","LTibiaToGlobal_X","LTibiaToGlobal_Y","LTibiaToGlobal_Z","Force Plate 1_COP:X_mm","Force Plate 1_COP:Y_mm","Force Plate 1_COP:Z_mm","Force Plate 1_Ref:X_mm","Force Plate 1_Ref:Y_mm","Force Plate 1_Ref:Z_mm","Force Plate 1_Force:X_N","Force Plate 1_Force:Y_N","Force Plate 1_Force:Z_N","Force Plate 1_Moment:X_Nmm","Force Plate 1_Moment:Y_Nmm","Force Plate 1_Moment:Z_Nmm","Force Plate 2_COP:X_mm","Force Plate 2_COP:Y_mm","Force Plate 2_COP:Z_mm","Force Plate 2_Ref:X_mm","Force Plate 2_Ref:Y_mm","Force Plate 2_Ref:Z_mm","Force Plate 2_Force:X_N","Force Plate 2_Force:Y_N","Force Plate 2_Force:Z_N","Force Plate 2_Moment:X_Nmm","Force Plate 2_Moment:Y_Nmm","Force Plate 2_Moment:Z_Nmm"
442.797455,843.875305,113.57914,364.159912,993.921265,398.647186,381.295868,981.671753,310.819397,415.670135,1001.754028,346.244995,366.239655,975.320129,347.496735,362.177277,1007.565552,64.867249,398.83728,1113.723755,79.824265,601.404724,565.854553,100.109161,664.972412,745.735535,370.295471,652.437927,727.608704,289.240692,601.682312,732.600159,328.611084,645.767395,740.476074,321.817474,650.540588,652.052795,202.163116,682.784119,727.261597,35.259827,618.910217,821.511597,54.670406,442.070038,924.066711,146.542084,420.293945,1013.700256,520.436462,364.359314,1006.868225,520.513245,476.228546,1020.532288,520.359741,403.039978,907.288574,139.957458,481.100037,940.844849,153.126724,442.070038,924.066711,146.542084,598.236084,653.999329,120.195122,0,0,0,598.236084,653.999329,120.195122,614.067078,757.737183,499.337311,671.295471,758.187073,505.675659,556.838623,757.287292,492.998993,639.247253,640.238098,111.875137,557.224915,667.760559,128.515121,535.591064,959.34668,143.5448,694.770752,628.064819,123.252594,200,0,0,407.088501,1014.700928,122.783394,624.034973,746.912964,93.692513,0,200,0,436.414978,947.343567,243.638626,602.260315,680.369446,216.57283,0,0,200,15.37536,1.752033,15.037558,-13.760118,1.717667,20.668875,NA,NA,NA,238.5,812.5,0,0.198863,-0.153457,-3.037983,-597.446579,544.967566,-36.530539,606.087861,732.187611,0,727.5,812.5,0,-51.925278,51.757469,709.320251,-56967.204315,86120.088776,7914.329197
439.828644,859.883606,106.50943,364.300507,997.47406,397.971802,380.770538,988.954224,309.650024,415.591309,1007.093872,345.647675,365.892273,981.131836,346.101349,360.962738,1026.287598,66.066017,399.081818,1130.923462,85.750229,601.319092,558.812073,101.34726,664.948547,740.263611,370.434052,652.40686,721.45874,289.434967,601.765808,726.975342,328.830963,645.780029,734.61084,321.9646,650.322327,645.541138,202.916504,682.783142,719.719849,35.393547,619.026672,813.992065,54.610111,439.900879,938.140076,142.856354,421.393036,1011.281799,519.873169,365.395996,1005.015808,520.058777,477.390076,1017.547791,519.687561,400.658508,922.081177,135.83783,479.143188,954.198975,149.874893,439.900879,938.140076,142.856354,598.119141,646.58136,121.034897,0,0,0,598.119141,646.58136,121.034897,613.973511,753.513794,499.273651,671.197571,753.844666,505.655304,556.749451,753.182983,492.892029,639.094177,632.625732,112.867531,557.144104,660.536987,129.202271,533.762207,972.536682,140.73143,694.570923,620.382874,124.39463,200,0,0,405.742462,1029.924805,123.392311,624.221619,739.181763,93.759789,0,200,0,435.094574,957.134216,240.763763,602.149353,673.763489,217.182938,0,0,200,15.837293,1.925315,15.196055,-11.253371,1.217715,20.126455,NA,NA,NA,238.5,812.5,0,0.251973,0.321065,-8.367246,-1690.528905,1498.641887,88.08367,606.085672,725.911012,0,727.5,812.5,0,-52.722389,55.990986,718.749084,-62235.756134,87266.437103,8067.565138
435.480865,881.154663,97.68013,364.548615,1001.98645,397.19516,380.082489,998.406921,308.413818,415.514343,1013.936035,345.024445,365.468567,988.65863,344.489227,359.474426,1050.93396,68.404785,399.754333,1153.16687,94.329758,601.175476,549.311829,103.048904,664.888428,732.934082,370.607086,652.390076,713.263611,289.714569,601.851013,719.541809,329.101105,645.790039,726.792236,322.176361,650.048706,636.76123,203.94989,682.753662,709.447449,35.525459,619.141541,803.805176,54.497524,436.906189,956.656677,138.569489,422.959564,1007.883057,518.901184,366.887451,1002.382629,519.318298,479.031677,1013.383545,518.484131,397.374237,941.585571,131.05835,476.438141,971.727783,146.080627,436.906189,956.656677,138.569489,598.035217,636.796143,122.103622,0,0,0,598.035217,636.796143,122.103622,613.730225,747.898743,499.136353,670.940613,747.995605,505.632324,556.519714,747.801819,492.640381,638.948547,622.531128,114.178993,557.121826,651.061218,130.028259,531.226685,989.803589,137.446396,694.333801,610.123413,125.957764,200,0,0,403.921661,1049.759155,124.844452,624.689575,728.937012,93.843483,0,200,0,433.284393,969.959595,237.337738,602.024841,665.038391,217.945084,0,0,200,16.428699,2.2088,15.481597,-7.919667,0.643586,19.363445,NA,NA,NA,238.5,812.5,0,0.214385,1.251384,-15.771764,-3224.20363,2823.320076,330.844308,605.994806,716.254306,0,727.5,812.5,0,-53.708649,63.070976,732.095947,-70461.082153,88953.460327,7825.62344
430.157623,905.022217,88.627678,364.922546,1006.773499,396.514282,379.322845,1008.696106,307.478088,415.47522,1021.263733,344.566772,365.032501,996.842712,343.039063,357.946899,1078.181274,72.049187,400.906189,1177.234253,104.874008,600.983276,538.391602,105.067352,664.788513,724.592041,370.794434,652.383301,703.943787,290.047394,601.9198,711.19165,329.381073,645.802429,717.935852,322.423706,649.778259,626.707092,205.196213,682.687317,697.51416,35.621552,619.23938,792.029175,54.336037,433.359375,977.134583,134.598099,424.889771,1003.84314,517.527466,368.745605,999.223083,518.33429,481.033905,1008.463135,516.720581,393.490631,963.215759,126.65892,473.228119,991.053528,142.537277,433.359375,977.134583,134.598099,597.971436,625.731018,123.304703,0,0,0,597.971436,625.731018,123.304703,613.334778,741.628418,498.903839,670.520203,741.361389,505.591583,556.149353,741.895386,492.216125,638.793762,611.043457,115.705338,557.149109,640.418457,130.904068,528.2052,1008.77179,134.359589,694.038147,598.357361,127.832146,200,0,0,401.81366,1071.433594,127.340958,625.443909,717.277588,93.936714,0,200,0,431.159912,984.070496,234.040924,601.876831,655.192078,218.781769,0,0,200,17.097355,2.594941,15.904636,-4.179747,0.136674,18.447237,417.455135,1018.927519,0,238.5,812.5,0,-0.032941,2.61673,-22.549294,-4654.79472,4035.311855,685.247283,605.767531,703.62892,0,727.5,812.5,0,-54.502586,73.199097,746.68042,-81291.903687,90895.251099,6974.344074
424.425751,928.926392,80.653687,365.417267,1011.26001,396.082031,378.585144,1018.616699,307.087799,415.50946,1028.188477,344.401428,364.636322,1004.743774,342.03714,356.534332,1104.86792,76.916077,402.408447,1200.231934,116.450813,600.760925,526.993164,107.280251,664.662231,716.027588,370.981812,652.367004,694.324341,290.399109,601.959717,702.698914,329.639313,645.811646,708.860657,322.665192,649.544312,616.2854,206.590607,682.601501,684.922668,35.674618,619.336914,779.647034,54.142834,429.584412,997.226013,131.617386,427.028564,999.568787,515.847107,370.829163,995.864807,517.204163,483.227966,1003.272827,514.490112,389.363373,984.516174,123.403969,469.80545,1009.935913,139.83078,429.584412,997.226013,131.617386,597.864563,614.285156,124.602547,0,0,0,597.864563,614.285156,124.602547,612.856018,735.394043,498.574249,670.006775,734.657227,505.507202,555.705322,736.130737,491.641296,638.568054,599.087402,117.386444,557.161133,629.48291,131.818649,524.97052,1027.211426,131.963699,693.632263,586.030823,129.927017,200,0,0,399.650604,1092.400513,130.842453,626.36499,705.123901,94.046822,0,200,0,428.920685,997.834412,231.397919,601.675415,645.070984,219.665909,0,0,200,17.818525,3.05216,16.437775,-0.445012,-0.198438,17.451086,417.403888,1021.93596,0,238.5,812.5,0,-0.609422,4.024933,-22.766146,-4768.049582,4072.951983,1047.794938,605.379395,688.625984,0,727.5,812.5,0,-54.512138,86.225021,757.42041,-93824.708252,92496.638428,5495.092281
418.835602,951.090881,74.417366,365.996521,1015.140564,395.938019,377.949829,1027.435669,307.268616,415.637512,1034.192383,344.537811,364.313385,1011.797546,341.569427,355.276245,1128.874512,82.68689,404.00293,1220.40271,128.132172,600.51886,515.668274,109.633553,664.521423,707.746399,371.153076,652.327881,684.932129,290.760437,601.956055,694.499207,329.856659,645.802673,700.058472,322.872681,649.319153,606.019226,208.07608,682.528748,672.277954,35.702385,619.46228,767.232361,53.939342,425.908386,1015.389465,129.858124,429.17804,995.400208,513.994629,372.947449,992.604431,516.019592,485.4086,998.195984,511.969635,385.344147,1003.871765,121.54628,466.472595,1026.907104,138.169968,425.908386,1015.389465,129.858124,597.691956,602.988342,125.991768,0,0,0,597.691956,602.988342,125.991768,612.367493,729.583496,498.165833,669.477661,728.340759,505.363068,555.257446,730.826294,490.968628,638.261475,587.248047,119.186714,557.122437,618.728577,132.796814,521.817566,1043.661865,130.44223,693.128723,573.794189,132.167953,200,0,0,397.699615,1111.064087,135.069885,627.298157,693.048035,94.192772,0,200,0,426.757477,1010.198425,229.614441,601.422485,635.168762,220.598175,0,0,200,18.578175,3.540929,17.008915,2.997934,-0.334685,16.424456,NA,NA,NA,238.5,812.5,0,-1.54687,4.504733,-7.252383,-1666.443507,1295.537556,1163.588328,604.825962,671.801668,0,727.5,812.5,0,-53.05608,101.366455,757.134033,-106527.495728,92880.689331,3581.186209
413.855377,970.480774,69.974655,366.600311,1018.334167,395.994812,377.473846,1034.856445,307.845856,415.854553,1039.085083,344.867981,364.074646,1017.775146,341.521759,354.142853,1149.1073,88.854782,405.391296,1237.027344,139.082458,600.256897,504.635315,112.133789,664.355103,699.980591,371.282684,652.264343,676.022339,291.14032,601.89386,686.756104,330.023407,645.769409,691.747437,323.048035,649.050781,596.112732,209.628555,682.483948,659.812439,35.740265,619.624817,754.9953,53.742126,422.624542,1030.881714,129.157333,431.127594,991.562561,512.081238,374.890198,989.656189,514.818298,487.365021,993.468933,509.344208,381.742554,1020.501221,120.88858,463.5065,1041.262207,137.426071,422.624542,1030.881714,129.157333,597.50415,592.078308,127.456482,0,0,0,597.50415,592.078308,127.456482,611.876221,724.318359,497.685791,668.942078,722.608582,505.150513,554.810425,726.028137,490.2211,637.941833,575.821899,121.07415,557.066406,608.334778,133.838791,519.026062,1057.421875,129.699631,692.615662,562.015259,134.502869,200,0,0,396.215759,1126.740601,139.575317,628.163574,681.332458,94.385857,0,200,0,424.832703,1020.670959,228.59874,601.157532,625.693665,221.568527,0,0,200,19.360893,4.040577,17.540754,5.993124,-0.310735,15.392406,417.579717,1010.996663,0,238.5,812.5,0,-2.66703,2.452225,34.500458,6848.225723,-6178.33223,610.831648,604.111766,653.677254,0,727.5,812.5,0,-49.561802,116.827515,737.957642,-117204.458801,91055.289978,1619.336668
409.855743,986.560059,66.98584,367.158844,1020.872681,396.065186,377.180847,1040.836548,308.523163,416.135101,1042.874023,345.197906,363.912445,1022.638184,341.64212,353.088684,1165.184326,94.780869,406.305511,1250.035767,148.595245,599.975891,493.933838,114.824356,664.148438,692.790527,371.352539,652.172974,667.642761,291.538025,601.771545,679.504639,330.136749,645.713806,683.968384,323.207306,648.713867,586.610291,211.268402,682.456238,647.546448,35.834351,619.81012,742.936523,53.557953,419.960846,1043.472046,129.109924,432.69577,988.19458,510.166443,376.47052,987.149963,513.575256,488.921021,989.239136,506.75766,378.79892,1034.146606,120.962563,461.122803,1052.797485,137.257263,419.960846,1043.472046,129.109924,597.331543,581.561646,129.006378,0,0,0,597.331543,581.561646,129.006378,611.359009,719.655518,497.107574,668.37616,717.542114,504.847015,554.341919,721.768921,489.368195,637.644836,564.832031,123.063858,557.01825,598.291321,134.948868,516.815002,1068.307129,129.457565,692.13269,550.742188,136.951965,200,0,0,395.364075,1139.310181,143.82605,628.957275,669.984985,94.628059,0,200,0,423.267975,1029.117065,228.066391,600.897339,616.665039,222.577469,0,0,200,20.17313,4.557243,18.009079,8.471828,-0.199201,14.381368,417.564334,1015.866507,0,238.5,812.5,0,-3.487218,-4.072627,110.269348,22425.092133,-19745.307343,-1125.288609,603.241556,634.833389,0,727.5,812.5,0,-43.798164,129.724762,694.102295,-123318.802124,86248.071411,137.642101
407.087006,999.075562,64.929253,367.607239,1022.801147,395.921173,377.059784,1045.4104,308.973419,416.44278,1045.642334,345.300934,363.815552,1026.396362,341.629425,352.089996,1177.113037,99.771843,406.562195,1259.642822,156.115677,599.684814,483.540283,117.752228,663.912109,686.171936,371.370331,652.052002,659.745361,291.941284,601.602661,672.7547,330.202271,645.628174,676.665588,323.346558,648.314392,577.493591,213.014877,682.43042,635.424561,36.011204,620.000366,730.982605,53.383808,418.063812,1053.140137,129.234772,433.765381,985.400757,508.268921,377.562561,985.152649,512.230225,489.968201,985.648926,504.307678,376.672546,1044.744141,121.219414,459.455109,1061.536011,137.250122,418.063812,1053.140137,129.234772,597.139709,571.347412,130.690582,0,0,0,597.139709,571.347412,130.690582,610.828125,715.67804,496.396973,667.790222,713.196167,504.425507,553.865967,718.159912,488.368469,637.326904,554.162354,125.218323,556.952454,588.532532,136.162827,515.313599,1076.393188,129.370377,691.626831,539.835632,139.590515,200,0,0,395.162842,1148.860962,147.287933,629.699036,658.875916,94.928429,0,200,0,422.141357,1035.54895,227.666061,600.619324,608.036194,223.652908,0,0,200,21.041279,5.106071,18.443846,10.403574,-0.077698,13.447063,417.62938,1017.329806,0,238.5,812.5,0,-3.268236,-16.59626,220.329514,45130.051491,-39467.489143,-4460.902016,602.213953,616.034951,0,727.5,812.5,0,-36.038944,136.671906,624.942322,-122779.323944,78296.553131,-329.110994
405.645233,1007.916504,63.272377,367.900299,1024.126953,395.3591,377.072266,1048.593872,308.909149,416.732117,1047.47522,344.972992,363.777649,1029.030396,341.211243,351.171417,1185.061523,103.195396,406.119049,1266.106812,161.248703,599.400085,473.426147,120.949486,663.672363,680.112854,371.355225,651.910034,652.29895,292.343079,601.407593,666.521362,330.233887,645.50293,669.792847,323.441376,647.873535,568.734314,214.857834,682.408569,623.39032,36.264458,620.191406,719.063965,53.214081,416.987,1059.903198,129.099365,434.308777,983.278137,506.389771,378.128357,983.684998,510.722595,490.489227,982.871277,502.056976,375.430908,1052.242554,121.171272,458.543091,1067.563843,137.027451,416.987,1059.903198,129.099365,596.893677,561.411743,132.541702,0,0,0,596.893677,561.411743,132.541702,610.317932,712.424561,495.543274,667.217957,709.577271,503.877686,553.417969,715.271851,487.208862,636.943848,543.764404,127.575432,556.843506,579.059021,137.50795,514.54657,1081.856934,129.115005,691.045654,529.218201,142.460938,200,0,0,395.472656,1155.489624,149.502243,630.408447,647.953064,95.30352,0,200,0,421.485291,1040.004517,227.07782,600.306091,599.799072,224.816452,0,0,200,21.976851,5.692789,18.877602,11.769608,-0.008961,12.68168,417.749769,1017.704323,0,238.5,812.5,0,-1.302519,-35.246853,355.382751,72926.076935,-63702.276276,-9453.21951,601.007757,598.41076,0,727.5,812.5,0,-27.081732,134.941864,536.158997,-114785.872223,67819.954315,560.866155
